,state_cat,account_length,area_code_cat,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,churn_predict,churn_proba
72,13,71,1,0,0,0,212.1,114,36.06,235.9,91,20.05,207.7,135,9.35,11.3,5,3.05,4,0,1,0.8656492594038229
73,50,114,1,0,0,0,178.3,86,30.31,176.5,99,15.0,187.1,83,8.42,13.8,2,3.73,1,0,0,0.33990502478709644
74,29,135,1,0,0,0,181.8,92,30.91,159.6,63,13.57,232.4,78,10.46,7.0,6,1.89,0,0,0,0.2112095353852966
75,5,93,1,0,0,0,120.6,104,20.5,205.5,95,17.47,182.5,107,8.21,9.6,6,2.59,2,0,0,0.33159435618564087
76,45,82,1,0,0,0,172.4,112,29.31,131.7,89,11.19,182.8,78,8.23,8.8,9,2.38,1,0,0,0.3232319146620809
77,49,64,1,0,0,0,160.6,110,27.3,171.9,97,14.61,105.2,56,4.73,7.3,2,1.97,0,1,0,0.1696643620803361
78,3,76,0,0,1,12,98.4,100,16.73,187.5,119,15.94,177.0,68,7.97,15.1,3,4.08,1,0,0,0.07335107589677212
79,16,112,1,0,0,0,109.0,126,18.53,212.7,106,18.08,208.3,92,9.37,7.9,3,2.13,1,0,0,0.17545030616484908
80,31,113,0,1,0,0,122.4,98,20.81,223.8,116,19.02,267.5,148,12.04,11.6,5,3.13,3,0,1,0.9114929908007404
81,41,137,1,0,0,0,144.5,119,24.57,167.3,89,14.22,175.1,76,7.88,6.1,4,1.65,5,1,1,0.8454705450309543
82,28,128,0,0,0,0,102.5,87,17.43,177.2,97,15.06,226.0,119,10.17,8.7,5,2.35,1,0,0,0.16377909243978386
83,40,84,1,0,0,0,274.1,119,46.6,144.1,123,12.25,268.2,100,12.07,9.9,5,2.67,2,0,1,0.7784335301296295
84,13,140,2,0,0,0,193.1,82,32.83,260.3,107,22.13,241.3,93,10.86,13.3,5,3.59,2,0,1,0.5556657800049657
85,43,106,1,0,0,0,182.8,96,31.08,193.7,93,16.46,219.5,113,9.88,7.7,2,2.08,2,0,1,0.5230428828374061
86,41,166,2,0,1,32,148.4,86,25.23,170.6,119,14.5,201.5,124,9.07,11.3,12,3.05,1,0,0,0.13025781170254744
87,42,137,0,0,0,0,75.8,107,12.89,256.9,98,21.84,204.4,118,9.2,10.5,3,2.84,2,0,0,0.21886291757640317
88,42,161,1,0,0,0,198.0,90,33.66,186.4,102,15.84,219.2,90,9.86,9.3,2,2.51,1,0,0,0.39831551901624956
89,8,120,1,0,0,0,253.2,95,43.04,210.8,86,17.92,253.9,81,11.43,9.5,4,2.57,5,1,1,0.9563002763396827
90,42,187,2,0,1,25,199.9,64,33.98,134.6,110,11.44,210.4,78,9.47,11.7,6,3.16,3,0,1,0.5387269003136345
91,37,102,1,0,1,25,187.5,105,31.88,272.3,88,23.15,216.4,91,9.74,11.7,2,3.16,2,0,0,0.33148363806194775
92,12,82,0,0,0,0,183.6,111,31.21,303.5,88,25.8,189.8,115,8.54,10.3,6,2.78,0,0,0,0.21505917596964386
93,22,100,2,0,1,21,86.1,95,14.64,189.9,126,16.14,201.3,113,9.06,11.7,4,3.16,0,0,0,0.03255450783284927
94,2,45,0,0,0,0,126.8,83,21.56,157.8,100,13.41,158.3,97,7.12,11.0,4,2.97,3,0,1,0.5191534122646554
95,42,114,1,0,0,0,108.3,95,18.41,168.3,104,14.31,153.1,109,6.89,9.1,2,2.46,1,0,0,0.17416261175671957
96,49,43,0,1,0,0,160.5,92,27.29,235.8,121,20.04,111.8,95,5.03,13.8,5,3.73,1,1,1,0.8054554881306764
97,14,103,0,0,0,0,147.3,81,25.04,158.4,88,13.46,193.8,103,8.72,11.0,3,2.97,2,0,0,0.41084216882458663
98,8,57,2,0,0,0,165.1,91,28.07,240.8,56,20.47,277.0,100,12.47,9.5,3,2.57,2,0,0,0.46667785895661534
99,27,52,0,0,1,31,122.2,88,20.77,139.0,100,11.82,141.9,141,6.39,5.7,10,1.54,3,0,0,0.3024478299543628
100,12,74,0,0,0,0,156.3,102,26.57,273.1,118,23.21,215.8,113,9.71,9.0,4,2.43,3,0,1,0.6113182116887177
101,1,74,0,0,1,46,277.7,109,47.21,270.0,114,22.95,165.3,82,7.44,10.4,2,2.81,1,0,0,0.4378841973631096
102,11,40,1,1,1,21,147.4,117,25.06,262.8,110,22.34,202.0,97,9.09,10.9,5,2.94,0,0,0,0.4259149245922443
103,38,83,1,0,0,0,228.4,113,38.83,163.3,103,13.88,248.0,114,11.16,7.8,6,2.11,1,0,0,0.4937988694367939
104,39,102,2,0,0,0,184.6,133,31.38,166.8,94,14.18,225.2,105,10.13,6.8,8,1.84,1,0,0,0.3581563080272397
105,18,92,2,0,0,0,87.6,89,14.89,172.3,133,14.65,153.4,88,6.9,8.0,4,2.16,1,0,0,0.13938708835982394
106,7,79,0,0,1,25,219.0,95,37.23,241.9,95,20.56,203.4,102,9.15,5.6,5,1.51,4,0,1,0.7497656251153547
107,42,110,2,0,0,0,220.9,100,37.55,279.6,76,23.77,239.8,107,10.79,13.5,9,3.65,1,1,0,0.4699235406366787
108,1,69,0,0,1,27,188.4,104,32.03,320.6,128,27.25,161.7,120,7.28,9.7,7,2.62,1,0,0,0.1996358198880392
109,15,56,2,0,0,0,254.8,83,43.32,194.0,98,16.49,186.2,118,8.38,13.5,2,3.65,4,0,1,0.9174025436295327
110,44,133,2,0,0,0,338.4,86,57.53,234.6,97,19.94,264.8,139,11.92,14.8,4,4.0,3,1,1,0.9413169228556426
111,9,119,1,0,1,37,168.2,81,28.59,283.3,105,24.08,243.8,136,10.97,10.7,3,2.89,1,0,0,0.16162628736347717
112,45,131,1,0,0,0,143.1,114,24.33,138.1,119,11.74,199.4,100,8.97,8.9,3,2.4,3,0,1,0.5706541662862313
113,6,60,1,0,1,20,118.3,113,20.11,253.8,97,21.57,172.8,78,7.78,9.4,4,2.54,1,0,0,0.09257949332165294
114,27,118,1,0,0,0,256.5,115,43.61,135.3,79,11.5,208.3,131,9.37,7.5,5,2.03,0,0,0,0.40974461974985776
115,38,92,2,0,0,0,185.9,111,31.6,216.8,93,18.43,231.0,58,10.4,8.5,2,2.3,1,0,0,0.36197628590059455
116,22,52,2,0,0,0,219.0,100,37.23,148.9,110,12.66,151.8,129,6.83,11.9,8,3.21,3,0,1,0.7777241490607204
117,27,135,2,0,1,18,180.1,90,30.62,152.5,65,12.96,258.2,85,11.62,12.7,9,3.43,1,0,0,0.18325928282130863
118,10,107,0,0,0,0,114.9,119,19.53,239.7,91,20.37,165.3,112,7.44,12.6,5,3.4,2,0,0,0.3156850146500738
119,38,110,2,0,0,0,158.6,97,26.96,204.4,123,17.37,182.5,123,8.21,11.3,3,3.05,2,0,0,0.4461152864866819
120,8,109,1,1,1,36,244.2,147,41.51,199.7,65,16.97,144.4,109,6.5,15.4,3,4.16,2,1,1,0.9115783165148369
121,34,90,1,0,0,0,180.0,58,30.6,229.4,88,19.5,162.2,110,7.3,13.2,9,3.56,1,0,0,0.34478602634296174
122,19,117,0,0,0,0,240.2,110,40.83,187.9,65,15.97,152.7,102,6.87,7.0,19,1.89,3,0,1,0.8209519765773386
123,26,57,1,0,0,0,234.4,120,39.85,155.3,120,13.2,130.5,103,5.87,9.4,4,2.54,1,0,1,0.512924764134279
124,29,115,1,0,0,0,135.4,104,23.02,138.8,91,11.8,208.5,92,9.38,5.4,3,1.46,1,0,0,0.2295578444133945
125,21,73,0,0,0,0,272.4,112,46.31,252.2,91,21.44,255.4,112,11.49,10.9,5,2.94,1,1,1,0.6309546037965283
126,31,127,2,0,0,0,262.9,95,44.69,175.9,126,14.95,202.1,101,9.09,7.5,5,2.03,1,0,1,0.6023253012202262
127,8,79,1,0,0,0,66.7,124,11.34,204.0,91,17.34,254.7,110,11.46,15.1,2,4.08,1,0,0,0.11037444923463692
128,46,33,0,0,1,33,221.4,110,37.64,276.1,86,23.47,222.9,102,10.03,10.1,4,2.73,1,0,0,0.2753327922483948
129,27,110,1,1,0,0,135.1,99,22.97,227.3,123,19.32,176.0,110,7.92,13.2,4,3.56,1,1,1,0.7496652310226879
130,6,133,0,0,0,0,240.8,72,40.94,202.7,62,17.23,212.9,76,9.58,7.7,5,2.08,1,0,1,0.5332827202738831
131,30,145,1,0,0,0,170.5,101,28.99,206.5,112,17.55,194.3,106,8.74,9.8,1,2.65,3,0,1,0.6533835277964237
132,17,47,1,0,1,40,158.3,90,26.91,213.2,71,18.12,123.0,132,5.54,14.0,2,3.78,2,0,0,0.2546693155410657
133,5,53,2,0,1,24,201.7,87,34.29,251.7,97,21.39,297.4,95,13.38,7.9,5,2.13,0,0,0,0.12813749871741745
134,30,148,2,0,0,0,168.8,102,28.7,248.1,125,21.09,250.7,96,11.28,10.6,4,2.86,1,0,0,0.3132715826903839
135,19,72,1,0,0,0,141.9,98,24.12,188.1,63,15.99,115.2,49,5.18,12.0,5,3.24,2,0,0,0.3942816225279387
136,18,96,2,0,0,0,182.6,75,31.04,188.6,67,16.03,137.7,81,6.2,9.5,3,2.57,5,1,1,0.89892961259417
137,49,113,2,0,1,28,264.4,93,44.95,222.8,79,18.94,213.7,88,9.62,10.0,4,2.7,1,0,0,0.39666878542315076
138,14,55,1,0,0,0,203.7,80,34.63,230.2,112,19.57,120.3,48,5.41,9.4,1,2.54,3,0,1,0.7421811167120165
139,22,143,1,0,0,0,191.6,53,32.57,104.6,104,8.89,195.8,125,8.81,10.7,9,2.89,3,0,1,0.7115713509901986
140,15,60,1,0,0,0,136.4,147,23.19,219.9,101,18.69,99.7,73,4.49,7.0,3,1.89,0,0,0,0.13049106140078848
141,5,90,1,0,1,30,168.2,103,28.59,220.9,75,18.78,224.3,105,10.09,8.2,2,2.21,0,0,0,0.08748443630917048
142,7,170,0,0,1,34,125.3,128,21.3,240.6,104,20.45,243.4,109,10.95,7.0,3,1.89,3,0,0,0.3108528758184142
143,43,65,1,0,0,0,217.9,89,37.04,238.8,101,20.3,194.4,105,8.75,6.6,4,1.78,0,0,0,0.29790867251375813
144,12,93,0,0,0,0,198.1,93,33.68,236.1,95,20.07,127.3,121,5.73,12.6,4,3.4,2,0,1,0.5713481305886962
145,44,117,0,1,1,15,178.8,81,30.4,286.1,85,24.32,229.4,128,10.32,7.1,5,1.92,1,0,1,0.6900738907357454
146,1,96,1,0,1,18,262.9,57,44.69,190.2,107,16.17,293.5,103,13.21,11.8,4,3.19,3,0,1,0.722849503638035
147,6,101,1,0,0,0,164.6,85,27.98,204.9,72,17.42,136.4,104,6.14,11.5,5,3.11,0,0,0,0.17697225493120347
148,33,60,1,0,0,0,197.0,130,33.49,219.2,105,18.63,102.8,113,4.63,12.6,4,3.4,1,0,0,0.3952631962130708
149,12,157,2,0,0,0,102.9,94,17.49,229.1,96,19.47,198.7,129,8.94,13.6,2,3.67,1,0,0,0.16447891370547868
150,44,89,0,0,0,0,144.2,74,24.51,164.7,119,14.0,279.2,121,12.56,12.1,7,3.27,4,1,1,0.7304911147591414
151,10,96,0,0,1,26,126.5,108,21.51,123.8,114,10.52,308.5,98,13.88,13.1,6,3.54,2,0,0,0.18551823618800686
152,38,91,1,0,0,0,139.8,109,23.77,157.0,91,13.35,218.6,122,9.84,13.6,4,3.67,3,0,1,0.5603140297520716
153,45,104,1,0,0,0,139.7,112,23.75,199.8,127,16.98,189.3,104,8.52,10.3,2,2.78,2,0,0,0.38760143816582304
154,40,40,1,0,0,0,309.4,86,52.6,271.3,98,23.06,197.1,116,8.87,11.2,5,3.02,3,1,1,0.9172305147292479
155,49,161,1,0,0,0,159.6,102,27.13,212.6,119,18.07,151.4,83,6.81,12.6,7,3.4,5,1,1,0.8689919174345154
156,17,131,0,0,1,29,239.7,102,40.75,212.8,109,18.09,187.7,77,8.45,10.5,2,2.84,1,0,0,0.3242393261792998
157,16,131,2,0,0,0,195.6,93,33.25,245.0,100,20.83,104.7,97,4.71,13.2,6,3.56,2,0,1,0.5635228340853028
158,7,79,2,0,0,0,161.1,110,27.39,170.6,111,14.5,274.4,80,12.35,7.6,2,2.05,2,0,0,0.4540060584034345
159,3,130,2,0,1,22,173.9,90,29.56,234.8,86,19.96,121.8,79,5.48,8.4,5,2.27,1,0,0,0.17171991655026364
160,11,161,0,0,0,0,165.4,88,28.12,209.7,111,17.82,270.7,129,12.18,10.5,3,2.84,4,0,1,0.7803099547149402
161,25,108,1,0,1,28,221.3,117,37.62,156.0,102,13.26,159.3,80,7.17,8.7,3,2.35,0,0,0,0.15874784806357306
162,49,69,1,1,0,0,176.8,89,30.06,196.0,89,16.66,232.6,151,10.47,13.1,5,3.54,1,1,1,0.835980014616415
163,27,80,0,0,0,0,196.0,75,33.32,237.8,112,20.21,220.1,127,9.9,13.9,5,3.75,1,0,0,0.3922190162763858
164,21,146,1,0,0,0,174.3,113,29.63,200.7,107,17.06,281.2,145,12.65,11.6,3,3.13,4,0,1,0.7991471961178573
165,31,143,0,1,0,0,186.9,98,31.77,196.5,110,16.7,215.3,104,9.69,12.3,3,3.32,4,0,1,0.979227219617471
166,47,114,2,1,0,0,115.6,93,19.65,163.2,78,13.87,251.3,104,11.31,9.7,1,2.62,2,1,1,0.82443898990952
167,50,113,0,0,0,0,158.4,107,26.93,142.2,104,12.09,174.7,108,7.86,14.9,2,4.02,0,0,0,0.16574842762790593
168,21,29,1,0,1,38,149.4,93,25.4,189.8,96,16.13,127.4,71,5.73,6.0,3,1.62,1,0,0,0.1317094023090723
169,25,57,1,0,1,36,244.5,94,41.57,161.2,113,13.7,184.3,105,8.29,9.7,3,2.62,1,0,0,0.33779320891616205
170,17,78,1,0,0,0,145.5,124,24.74,143.4,71,12.19,291.1,123,13.1,9.5,5,2.57,3,0,1,0.5781362511643172
171,10,120,2,0,0,0,147.7,101,25.11,144.1,71,12.25,237.0,115,10.67,11.1,5,3.0,0,0,0,0.1477298792659677
172,1,97,1,0,0,0,164.3,106,27.93,182.3,97,15.5,183.9,93,8.28,12.1,2,3.27,1,0,0,0.3010599235927073
173,15,185,1,0,0,0,89.4,77,15.2,288.9,128,24.56,162.9,93,7.33,10.4,2,2.81,3,0,0,0.4012400511081843
174,0,144,1,0,1,38,276.3,149,46.97,252.0,112,21.42,132.5,85,5.96,8.7,3,2.35,1,0,0,0.4334946137877345
175,2,97,2,0,1,32,172.7,79,29.36,217.4,101,18.48,260.7,88,11.73,11.7,5,3.16,1,0,0,0.16955422061525996
176,45,130,1,0,0,0,138.7,68,23.58,205.6,102,17.48,231.2,108,10.4,13.6,3,3.67,2,0,0,0.3845787405188981
177,7,59,1,0,1,26,205.4,68,34.92,115.0,115,9.78,214.7,130,9.66,9.4,2,2.54,5,0,1,0.8351386100751245
178,13,139,0,0,0,0,187.4,86,31.86,169.3,116,14.39,153.4,88,6.9,11.7,3,3.16,1,0,0,0.3664056991696137
179,8,12,1,0,0,0,206.1,105,35.04,246.6,104,20.96,254.6,83,11.46,12.1,7,3.27,2,0,1,0.596132340289385
180,23,42,0,0,1,34,131.5,143,22.36,185.3,109,15.75,177.3,117,7.98,10.9,5,2.94,0,0,0,0.05663803127937058
181,50,63,1,0,0,0,120.1,103,20.42,179.2,132,15.23,127.3,82,5.73,6.3,4,1.7,1,0,0,0.1968773842444225
182,34,143,1,0,0,0,168.6,85,28.66,176.3,89,14.99,282.3,69,12.7,13.3,10,3.59,1,0,0,0.31272313892552145
183,45,150,1,0,1,29,235.8,91,40.09,202.8,84,17.24,246.3,81,11.08,11.9,4,3.21,1,0,0,0.3134384828570361
184,2,156,2,0,0,0,189.4,114,32.2,145.7,96,12.38,192.8,121,8.68,4.5,13,1.22,0,0,0,0.2278081363886758
185,43,98,0,0,0,0,158.5,90,26.95,254.4,67,21.62,178.4,104,8.03,14.8,5,4.0,2,0,0,0.44580019280621025
186,7,17,2,0,1,30,280.0,101,47.6,258.9,85,22.01,230.0,130,10.35,10.3,2,2.78,3,0,1,0.7643561037768645
187,34,101,1,0,0,0,229.8,97,39.07,217.8,133,18.51,243.5,53,10.96,8.9,2,2.4,1,0,0,0.4982620134011791
188,35,163,1,0,0,0,241.6,102,41.07,138.9,100,11.81,148.8,129,6.7,9.8,6,2.65,1,0,1,0.5358210806591196
189,18,140,1,0,1,27,176.0,141,29.92,201.3,143,17.11,167.9,93,7.56,7.1,5,1.92,3,0,0,0.46267662651031444
190,35,176,1,0,1,31,167.0,93,28.39,174.1,128,14.8,155.0,124,6.98,10.4,4,2.81,3,0,0,0.43429559930125555
191,44,102,2,0,1,45,129.2,142,21.96,239.4,114,20.35,223.4,66,10.05,8.7,4,2.35,0,0,0,0.05509108438638187
192,45,71,1,0,1,49,174.0,122,29.58,168.6,85,14.33,132.1,120,5.94,7.8,4,2.11,1,0,0,0.17190137733837976
193,43,104,1,0,0,0,261.2,81,44.4,209.1,130,17.77,281.1,121,12.65,11.3,1,3.05,2,1,1,0.748767699200486
194,42,96,1,0,0,0,264.6,117,44.98,264.1,121,22.45,77.1,89,3.47,8.1,4,2.19,0,0,0,0.43493993253788427
195,38,90,0,0,0,0,160.9,97,27.35,136.4,46,11.59,209.0,121,9.4,9.1,4,2.46,2,0,0,0.45337389201870704
196,6,106,2,0,1,36,124.8,93,21.22,241.7,83,20.54,219.0,110,9.86,11.3,3,3.05,1,0,0,0.09978232164972475
197,8,148,2,0,0,0,230.6,92,39.2,185.6,97,15.78,183.2,79,8.24,6.2,4,1.67,2,0,1,0.6685905647031728
198,15,66,0,0,0,0,241.7,112,41.09,251.6,78,21.39,105.0,82,4.72,11.3,2,3.05,2,0,1,0.6991750427433209
